Ticker,Monthly_Hit_Rate_Pct
6501,65.0
FLEX,65.0
LLY,61.66666666666667
CemexCPO,61.66666666666667
NVT,61.66666666666667
BIMBOA,61.66666666666667
IBM,60.0
RCL,60.0
AFL,60.0
JCI,58.333333333333336
UNM,58.333333333333336
HUBB,58.333333333333336
IBE,58.333333333333336
HCLTECH,58.333333333333336
CMI,56.666666666666664
DELL,56.666666666666664
ETN,56.666666666666664
MU,56.666666666666664
ATRL,56.666666666666664
EDP,55.00000000000001
GWW,55.00000000000001
SIG,55.00000000000001
RSG,55.00000000000001
PFG,55.00000000000001
WDAY,55.00000000000001
WDC,55.00000000000001
LDOS,55.00000000000001
GILD,55.00000000000001
FITB,53.333333333333336
WM,53.333333333333336
HCA,53.333333333333336
SU,53.333333333333336
CAP,53.333333333333336
ACM,53.333333333333336
CPG,51.66666666666667
TKR,51.66666666666667
GM,51.66666666666667
BAH,51.66666666666667
LECO,51.66666666666667
CME,51.66666666666667
000660,51.66666666666667
6758,51.66666666666667
TT,51.66666666666667
NOKIA,50.0
HIG,50.0
SW,50.0
HPE,50.0
LH,50.0
PRU,50.0
ACN,50.0
MRVL,50.0
LRCX,50.0
AMGN,50.0
PAYX,50.0
OR,50.0
BMO,48.333333333333336
PSN,48.333333333333336
TEL,48.333333333333336
JLL,48.333333333333336
CBRE,48.333333333333336
DE,48.333333333333336
G,48.333333333333336
MDT,46.666666666666664
BG,46.666666666666664
CRM,46.666666666666664
AES,46.666666666666664
ALC,46.666666666666664
LIN,46.666666666666664
FDX,46.666666666666664
CTSH,46.666666666666664
V,46.666666666666664
XEL,46.666666666666664
ALL,46.666666666666664
MA,46.666666666666664
INTC,46.666666666666664
SJM,45.0
HON,45.0
AIZ,45.0
MGA,45.0
INGR,45.0
LNC,45.0
GPK,45.0
OSK,45.0
SAN,45.0
PEP,45.0
ITRI,45.0
ZBH,45.0
IP,45.0
MOTV3,43.333333333333336
ECL,43.333333333333336
FTV,43.333333333333336
AOS,43.333333333333336
GT,43.333333333333336
PINC,43.333333333333336
ROK,43.333333333333336
ADSK,43.333333333333336
INFY,43.333333333333336
KMB,41.66666666666667
HSIC,41.66666666666667
CL,41.66666666666667
ADM,41.66666666666667
HPQ,41.66666666666667
USB,41.66666666666667
NOW,40.0
APTV,40.0
LEA,40.0
LONN,40.0
CRI,40.0
PFE,38.333333333333336
4452,38.333333333333336
VZ,36.666666666666664
BBY,36.666666666666664
NATU3,36.666666666666664
