Ticker,Upside_Capture_Pct,Downside_Capture_Pct,Good_Upside,Good_Downside
MRVL,261.147241749772,262.65637788259284,True,False
LRCX,230.60779056399755,216.24815719310232,True,False
MU,220.2545898444499,201.86070101521273,True,False
WDC,209.00156354561017,189.5084019615487,True,False
SIG,193.70170362023777,171.72624206023863,True,False
RCL,191.20953490087155,169.52989130309496,True,False
FLEX,188.68244458582885,166.89356087148016,True,False
GT,178.7420755155197,193.99667704035303,True,False
DELL,177.0377785373608,155.97846823261608,True,False
LNC,175.96786647009029,186.72729386866592,True,False
APTV,170.63334477120787,200.784439250951,True,False
NVT,170.52542613476953,146.88796926222207,True,False
NOW,165.7374983107198,171.30829750289283,True,False
INTC,163.74340448413167,179.74370275971793,True,False
JLL,163.0508786435675,158.28696671815615,True,False
ADSK,158.18485723175422,175.1755219539936,True,False
HPE,153.00016516738478,145.05859096427005,True,False
GM,151.6089594315877,146.6625584423609,True,False
ITRI,150.1231434438006,160.7334159755234,True,False
TEL,148.5427162894175,147.4547497820695,True,False
CBRE,144.81616401043868,135.97606597106608,True,False
ETN,144.34486593701834,132.47007165830354,True,False
TKR,142.9489404043313,153.10301614837786,True,False
FITB,142.90789041299266,138.613937859953,True,False
OSK,141.59930032970578,143.67562402466422,True,False
CRM,141.400098285708,149.5955002495034,True,False
LEA,141.0640168478934,160.53712607183397,True,False
ROK,137.0324657468368,137.46993370800084,True,False
HPQ,135.49654814742453,146.44709968231368,True,False
BBY,134.43473857537208,150.79596363056766,True,False
JCI,134.39693258034032,121.82911846840447,True,False
MGA,132.21912019772483,146.1548444669506,True,False
AES,130.1639355453607,148.83778882388893,True,False
HUBB,129.44107068859873,113.68356286735686,True,False
TT,127.93340080505627,114.57662195070364,True,False
PFG,126.82459235588215,121.0030137781018,True,False
USB,125.94175911773593,129.72249864453414,True,False
CMI,123.76844726781138,113.08457353895707,True,False
LECO,117.69490452130964,109.75374628466741,True,False
PRU,116.33323933559896,113.28535675363285,True,False
ACM,115.82398082445154,110.76814595331285,True,False
CRI,113.58756894462891,143.8037348786713,True,False
SU,113.05822280590705,104.10881502519193,True,False
AOS,110.0142254409089,114.12807323659312,True,False
FDX,109.99739712953492,114.22089756633147,True,False
ATRL,109.67454112367892,81.02938485665928,True,True
FTV,108.96904219951378,120.09732698242979,True,False
CTSH,106.79022739689141,116.16921554814522,True,False
DE,105.99994303399272,100.18387406086514,True,False
MA,104.04232622571668,102.69261508185966,True,False
ACN,104.03416714437907,112.56084051965225,True,False
UNM,100.89404269023237,72.75957838875135,True,True
CAP,98.90131710375805,103.3738669089709,False,False
GWW,98.19184932706627,83.5306190746378,False,True
WDAY,97.42105356187982,85.89242908212502,False,True
ECL,94.49034694163213,98.46500119000667,False,True
G,94.26098699577247,98.65885795135144,False,True
IP,93.60430202934025,100.61515922277779,False,False
V,93.07324769444278,90.24541177410593,False,True
000660,88.28755558745186,43.096215691819936,False,True
PAYX,88.09093717516838,89.30903946344772,False,True
HCA,87.30001626992181,65.75898377420465,False,True
6501,86.8428496770001,41.07516202853561,False,True
IBM,84.36503834730443,63.88918971467601,False,True
PSN,83.7123276496203,75.60777774418543,False,True
LIN,83.49917872180981,78.57526312151332,False,True
NOKIA,83.47187031279348,70.80937766279328,False,True
HON,81.84571454150286,89.29384020893978,False,True
BMO,81.5292460857464,69.72927771386694,False,True
GPK,79.78692901137326,87.69289712333351,False,True
HIG,78.81867191560534,56.62342579227454,False,True
LONN,78.01779348223276,84.70706208148363,False,True
HSIC,77.64392207231627,81.76242161133271,False,True
BIMBOA,77.35966512314774,31.554753528660505,False,True
CemexCPO,77.35966512314774,31.554753528660505,False,True
LLY,77.35966512314774,31.554753528660505,False,True
AFL,76.38537144056966,57.67455402833191,False,True
BG,70.50721549137687,63.76355304865263,False,True
AIZ,70.10627384578866,59.10076718346276,False,True
ZBH,69.83207275859469,88.41289900174849,False,True
LH,69.46886296070363,65.52962825978436,False,True
6758,67.51501181353659,50.725622474055974,False,True
ALC,67.45024138876616,71.34719935375874,False,True
LDOS,65.88966208319724,55.33864465837336,False,True
OR,64.12721849096701,63.79599718671673,False,True
BAH,63.56291721550284,66.03798440696393,False,True
INGR,62.37426499792591,56.15211287186905,False,True
MDT,62.364923651960325,70.05808725682977,False,True
ALL,61.20774599794504,45.9812827996747,False,True
ADM,58.18713320338597,54.53339309112698,False,True
AMGN,55.42218403931217,46.624694139013215,False,True
GILD,53.090415598492356,32.45565658954659,False,True
MOTV3,51.716563155234766,47.615192883049225,False,True
RSG,49.49598471158151,32.16085125025803,False,True
NATU3,46.27744756410778,86.55197482557007,False,True
HCLTECH,45.885101908355345,29.48514312629272,False,True
INFY,45.28266491396982,38.35085586063004,False,True
WM,42.17600977329045,27.64700680465856,False,True
PFE,40.79699383575186,46.729801449982276,False,True
EDP,40.787624181544686,44.10057018403879,False,True
PINC,40.66876151309608,19.333207937666476,False,True
CPG,40.15311071649259,26.26129244960016,False,True
IBE,39.235743909141476,25.943040013300017,False,True
CME,36.36659688970247,23.31918343914702,False,True
SW,34.898858807075214,32.787233787563366,False,True
XEL,34.433944418419486,29.827123839710413,False,True
VZ,30.519512247999696,34.09850819554233,False,True
PEP,28.505788072325817,27.47035918995216,False,True
CL,19.70200971305738,19.559658873921947,False,True
SAN,17.539589744273716,10.131441864631368,False,True
KMB,14.35902111230019,16.826120794451313,False,True
SJM,13.709777258259335,12.107783197797987,False,True
4452,9.420788439990668,11.072921958267791,False,True
